Leadsales,https://www.crunchbase.com/organization/leadsales
"Commerce is being revolutionized throughout Latin America. Increasingly, SMBs are restructuring themselves to rely on online conversational platforms (like WhatsApp) as their primary channel for acquiring and servicing their clients. LeadSales is building the platform that will be the dominant operating system for this entire new industry - and will help businesses manage all of their interactions with consumers ranging from conversational sales, CRM, to order fulfillment, even to payments.",
View on LinkedIn,https://www.linkedin.com/company/leadsalesapp/
"David Villa Cañez, Roberto Peñacastro Ortega",
roby@leadsales.io,
Rattle,https://www.crunchbase.com/organization/rattle-d9b1
"Rattle develops a Salesforce integration technology allowing systems and people to interact with each other natively in Slack or Teams. It is a revenue orchestration platform that services all customer-facing departments in an organization. It lets sales representatives log their calls, track key metrics, and update opportunities. Additionally, it makes AEs and SDRs update customer relationship management and gets real-time visibility and review pipeline reports helping marketing professionals to spend time only with their customers and not on internal process management. Rattle was co-founded in 2020 by Sahil Aggarwal, Apoorva Verma, and Milan Singh.",
View on LinkedIn,https://www.linkedin.com/company/gorattle/
"Apoorva Verma, Milan Singh, Sahil Aggarwal",
—,
Carepatron,https://www.crunchbase.com/organization/carepatron
"Carepatron is a healthcare management software. The company's services include billing, coding, clinical notes, documentation, healthcare compliance, health records, medical dictation, online payments, practice management, a patient portal, and scheduling.",
View on LinkedIn,https://www.linkedin.com/company/carepatron/
—,
—,
Thena,https://www.crunchbase.com/organization/thena-c57f
"Thena is a customer engagement platform designed to help companies acquire, service, and grow B2B customers on messaging platforms like Slack and Teams. Founded by Ankit Saxena, Mike Molinet, Govind Kavaturi, and Unmukt Raizada, some of the customers include Branch, Embrace, Mixpanel, WorkRamp, and Spotdraft. Thena is backed by Lightspeed, First Round Capital, Tenacity Ventures, and Pear VC. The platform empowers B2B business to efficiently manage customer channels on messaging platforms like Slack and Teams. It consolidates channels, streamlines interactions, and captures data for powerful customer service and engagement analytics at scale.",
View on LinkedIn,https://www.linkedin.com/company/thena-platform
"Ankit Saxena, Govind Kavaturi, Mike Molinet, Satyavrat Bondre, Unmukt Raizada",
govind@thena.ai,
POSH,https://www.crunchbase.com/organization/posh-0e4f
POSH is the go-to communication and transaction infrastructure built for modern event industry stakeholders.,
View on LinkedIn,https://www.linkedin.com/company/poshgroupnyc
"Avante Price, Eli Taylor-Lemire",
support@posh.vip,
Relate,https://www.crunchbase.com/organization/pixelic
"Relate is a straightforward, collaborative sales tool that makes selling simple. Relate instantly connects your consumer data. Simply link your sources to Relate to track and manage all of your client history and conversations in a single location.",
View on LinkedIn,https://www.linkedin.com/company/relate.so
"Arthur Kim, Bia Yang, Christopher Chae, Sangyong Jung",
we@relate.so,
Hub,https://www.crunchbase.com/organization/hubtechsales
"Hub was developed specifically to help the presales individual contributor and leadership manage their daily activities to win more business. Hub is the presales source of record that integrates with popular customer relationship management (CRM) and productivity applications. The Hub presales productivity platform supports the following business outcomes: ""Make every presales perform like your best presales professional"" ""Ensure that right people are working on the right things"" ""Advocate for the right product features that will drive the right revenue"" ""Automate CRM data entry associated with presales activities"" ""Improve collaboration on presales opportunities that matter the most"" ""Access a unified presales workspace for jobs that need attention"" Hub is the presales productivity platform that support individual contributors with technical discovery, presentation, demonstration, solution definition, service scoping and evaluation (POC/POV) management. Hub also provides presales management with greater analysis, insights, understanding of product gaps holding up revenue, provide their own presales forecast view on sales, make data driven investments and take corrective actions based on leading indicators. To learn more about Hub, please visit www.hub.inc.",
View on LinkedIn,https://www.linkedin.com/company/hub-technical-sales
"Freddy Jose Mangum, Karl Gainey",
info@hub.inc,
Xeni,https://www.crunchbase.com/organization/xeniapp-inc
"Xeni is transforming how the travel business works by providing an Operating System for travelers, suppliers, and travel professionals. Xeni has built an efficient ecosystem featuring a web-based storefront, booking engine, CRM, and payment settlement engine on one software platform. In addition, Xeni offers a full suite of bookable travel inventory, including flights, hotels, car transfers, car rentals, and activities.",
View on LinkedIn,https://www.linkedin.com/company/xeniapp-inc.
"Rachel Obenshain, Sachin Narode",
info@xeniapp.com,
Cooby,https://www.crunchbase.com/organization/cooby
"Cooby operates as a customer relationship management platform. Cooby provides tools for salespeople to automatically create client profiles, document meetings, track conversations, and manage tasks.",
View on LinkedIn,https://www.linkedin.com/company/cooby/about/
"Jocelin Ho, Wen Shaw",
support@cooby.co,
Curious Thing AI,https://www.crunchbase.com/organization/curious-thing
"Curious Thing is a voice AI for proactive customer engagement. Through proactive phone calls, AI conducts open conversations with people for use cases like customer checking in, churned accounts re-engagement, lead qualification, and feedback collection.",
View on LinkedIn,https://www.linkedin.com/company/curiousthing-io/
"David McKeague, Dr Han Xu, Sam Zheng",
hello@curiousthing.io,
BuyerAssist.io,https://www.crunchbase.com/organization/buyerassist-io
"Buyerassist enables the revenue teams to deliver superior buyer experiences by helping them understand and deliver on customers’ priorities. With BuyerAssist, your revenue teams can collaborate and win with their customers and partners by aligning on a shared definition of outcomes, milestones and the jointly-operated plan to get there.",
View on LinkedIn,https://www.linkedin.com/company/buyerassist
"Amit Dugar, Shankar Ganapathy, Shyam HN",
team@buyerassist.io,
Novu,https://www.crunchbase.com/organization/novu-1a6b
Novu is the only open source notification infrastructure. It's simple to use and can be embedded in any product platform. Its management dashboard allows developers to understand exactly what is happening and enhances communications between enterprises and their customers for a long-term relationship.,
View on LinkedIn,https://www.linkedin.com/company/novuco
"Dima Grossman, Tomer Barnea",
—,
Synder,https://www.crunchbase.com/organization/cloudbusiness
"Synder is an easy accounting platform for e-commerce businesses.CloudBusiness is a fintech software company founded in 2016. It creates solutions for accounting automation and management of business finances for small and mid-size businesses. Synder is innovative accounting software famous for its multiple integrations and skyrocketing growth. In 2020 alone Synder processed over 1 Billion dollars worth of transactions for e-commerce and helped more than 20,000 businesses. Synder is a solution for e-commerce and SaaS businesses that work with a high volume of online transactions from different sources (Shopify, Amazon, Stripe, Square, Etsy, WooCommerce, PayPal with one-time or recurring payments). We automate bookkeeping of sales, simplify the accounts reconciliation process and facilitate more accurate and detailed reporting, including Profit&Loss and balance sheets. The high quality of our software and customer support is highlighted by the reviews of our clients. By the end of 2020, Synder reached more than 1000 5-star customer reviews on the QuickBooks App Store and top ratings on Capterra, Trustpilot, Crozdesk, and many other review platforms. Synder is a permanently growing company, which collaborates with multiple e-commerce platforms. Last year Synder connected 7 new and highly-demanded sales channels such as Amazon, Shopify, eBay, Etsy, and even more of them will be integrated next year. Moreover, every month Synder implements more and more new features: Smart Rules, Organizations for accountants who work with multiple clients, Multicurrency transactions",
View on LinkedIn,https://www.linkedin.com/company/synder
"Ilya Kisel, Michael Astreiko",
help@synder.com,
Start Left™ Security,https://www.crunchbase.com/organization/tauruseer
